Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time_Preference,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home,Desired_Room_Attributes,Study_Time_Preference,Conflict_Handling_Method,Communication_Preference_with_Roommate,Age,id,cluster_label
at any time,at any time,Evening,Significant,Rarely,Science,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,Total quiet,Hint jokingly,Face-to-face,20,127,1.0
at any time,Somewhat early,Evening,Significant,Never,Science,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,Total quiet,Hint jokingly,Face-to-face,18,128,1.0
Around midnight,Somewhat early,Late night,Significant,Sometimes,Dentistry,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Blunt,Face-to-face,19,129,0.0
at any time,at any time,Evening,Some,Often,Dentistry,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,No preference,Calm,Face-to-face,19,130,0.0
at any time,Somewhat early,Evening,Significant,Rarely,Medicine,Yes,Very quiet,Prefer personal items,Clean and organized,Study oriented,Total quiet,Calm,Text or messaging apps,18,131,1.0
at any time,Somewhat early,Evening,Some,Sometimes,Nursing,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Avoid conflict,Face-to-face,18,132,1.0
at any time,at any time,Evening,Significant,Frequently,Medicine,Yes,Very quiet,Prefer personal items,Clean and organized,Study oriented,No preference,Calm,Face-to-face,20,133,1.0
After midnight,Very early,Afternoon,Some,Rarely,Dentistry,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Blunt,Face-to-face,21,134,0.0
at any time,As late as possible,Evening,Some,Sometimes,Engineering,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,Total quiet,Avoid conflict,Face-to-face,21,135,0.0
Around midnight,at any time,Evening,Some,Often,Medicine,No,Background noise,Ask before sharing,Neat,Social & quiet,No preference,Calm,Face-to-face,21,136,1.0
Around midnight,Somewhat early,Evening,Significant,Sometimes,Engineering,No,Very quiet,Ask before sharing,Clean and organized,Study oriented,Total quiet,Blunt,Face-to-face,20,137,0.0
After midnight,at any time,Evening,Some,Often,Dentistry,Yes,Background noise,Ask before sharing,Clean and organized,Study oriented,No preference,Hint jokingly,Text or messaging apps,21,138,0.0
Around midnight,Somewhat early,Evening,Significant,Sometimes,Medicine,No,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Avoid conflict,Face-to-face,18,139,1.0
