Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id,cluster_label
3.0,1.0,0.0,1.0,2.0,5,2,2,2,3,0,2,2,0,0.2786342473088685,223,1
0.0,1.0,0.0,2.0,3.0,2,2,2,0,1,2,1,3,0,-0.5052159429226737,224,0
2.0,2.0,2.0,1.0,1.0,4,2,2,0,0,2,2,1,0,-0.5052159429226737,225,1
2.0,1.0,0.0,1.0,2.0,5,2,2,0,1,2,2,3,2,-1.289066133154216,226,1
3.0,1.0,2.0,1.0,2.0,5,2,2,0,3,0,0,3,0,0.2786342473088685,227,1
2.0,2.0,2.0,1.0,2.0,2,1,0,0,3,0,0,0,2,-1.289066133154216,228,0
2.0,2.0,0.0,1.0,2.0,5,2,2,0,0,2,2,2,0,-0.5052159429226737,229,1
2.0,1.0,2.0,2.0,3.0,4,2,2,1,0,2,1,0,0,-0.5052159429226737,230,1
2.0,1.0,2.0,1.0,2.0,2,2,2,0,0,2,2,1,0,0.2786342473088685,231,0
0.0,1.0,2.0,2.0,1.0,5,2,2,0,0,0,2,1,0,-0.5052159429226737,232,1
2.0,2.0,3.0,1.0,2.0,7,0,2,0,3,0,2,2,2,-0.5052159429226737,233,1
1.0,2.0,2.0,1.0,1.0,5,2,2,0,3,2,2,0,0,-1.289066133154216,234,1
2.0,1.0,2.0,2.0,2.0,0,2,2,0,3,2,2,0,0,-0.5052159429226737,235,0
2.0,1.0,1.0,2.0,1.0,0,2,2,0,0,2,2,2,0,-1.289066133154216,236,0
0.0,1.0,2.0,1.0,2.0,7,0,0,2,3,0,1,2,1,-0.5052159429226737,237,1
